,Year,Week,Day,Date,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,HomeTeam,AwayTeam
238,1968,13,Sat,December 7,,Baltimore Colts,Green Bay Packers,16,3,242,2,163,5,Green Bay Packers,Baltimore Colts
239,1968,13,Sun,December 8,,Chicago Bears,Los Angeles Rams,17,16,248,2,210,2,Los Angeles Rams,Chicago Bears
240,1968,13,Sun,December 8,,Dallas Cowboys,Pittsburgh Steelers,28,7,341,2,313,1,Dallas Cowboys,Pittsburgh Steelers
241,1968,13,Sun,December 8,,Minnesota Vikings,San Francisco 49ers,30,20,247,1,280,3,San Francisco 49ers,Minnesota Vikings
242,1968,13,Sun,December 8,,Cleveland Browns,Washington Redskins,24,21,354,3,326,3,Washington Redskins,Cleveland Browns
243,1968,13,Sun,December 8,,St. Louis Cardinals,New York Giants,28,21,351,3,441,2,New York Giants,St. Louis Cardinals
244,1968,13,Sun,December 8,,Detroit Lions,Atlanta Falcons,24,7,342,1,230,4,Atlanta Falcons,Detroit Lions
245,1968,13,Sun,December 8,,Philadelphia Eagles,New Orleans Saints,29,17,318,2,311,1,Philadelphia Eagles,New Orleans Saints
247,1968,14,Sat,December 14,,St. Louis Cardinals,Cleveland Browns,27,16,324,0,318,0,St. Louis Cardinals,Cleveland Browns
248,1968,14,Sun,December 15,,New Orleans Saints,Pittsburgh Steelers,24,14,343,0,350,4,New Orleans Saints,Pittsburgh Steelers
249,1968,14,Sun,December 15,,Baltimore Colts,Los Angeles Rams,28,24,208,2,312,1,Los Angeles Rams,Baltimore Colts
250,1968,14,Sun,December 15,,Washington Redskins,Detroit Lions,14,3,208,2,368,4,Washington Redskins,Detroit Lions
251,1968,14,Sun,December 15,,Green Bay Packers,Chicago Bears,28,27,316,1,291,3,Chicago Bears,Green Bay Packers
252,1968,14,Sun,December 15,,Dallas Cowboys,New York Giants,28,10,320,3,319,1,New York Giants,Dallas Cowboys
253,1968,14,Sun,December 15,,Minnesota Vikings,Philadelphia Eagles,24,17,280,2,286,2,Philadelphia Eagles,Minnesota Vikings
254,1968,14,Sun,December 15,,San Francisco 49ers,Atlanta Falcons,14,12,458,4,150,2,Atlanta Falcons,San Francisco 49ers
256,1968,Division,Sat,December 21,,Cleveland Browns,Dallas Cowboys,31,20,280,2,286,4,Cleveland Browns,Dallas Cowboys
257,1968,Division,Sun,December 22,,Baltimore Colts,Minnesota Vikings,24,14,295,2,351,3,Baltimore Colts,Minnesota Vikings
258,1968,Champ,Sun,December 29,,Baltimore Colts,Cleveland Browns,34,0,353,2,173,3,Cleveland Browns,Baltimore Colts
259,1968,SuperBowl,Sun,January 12,,New York Jets,Baltimore Colts,16,7,337,1,324,5,New York Jets,Baltimore Colts
260,1969,1,Sun,September 21,,Green Bay Packers,Chicago Bears,17,0,286,0,204,2,Green Bay Packers,Chicago Bears
261,1969,1,Sun,September 21,,Atlanta Falcons,San Francisco 49ers,24,12,308,2,331,5,Atlanta Falcons,San Francisco 49ers
262,1969,1,Sun,September 21,,New York Giants,Minnesota Vikings,24,23,320,2,327,2,New York Giants,Minnesota Vikings
263,1969,1,Sun,September 21,,Cleveland Browns,Philadelphia Eagles,27,20,369,5,246,2,Philadelphia Eagles,Cleveland Browns
264,1969,1,Sun,September 21,,Los Angeles Rams,Baltimore Colts,27,20,339,0,337,4,Baltimore Colts,Los Angeles Rams
265,1969,1,Sun,September 21,,Washington Redskins,New Orleans Saints,26,20,303,1,328,1,New Orleans Saints,Washington Redskins
266,1969,1,Sun,September 21,,Dallas Cowboys,St. Louis Cardinals,24,3,362,2,257,3,Dallas Cowboys,St. Louis Cardinals
267,1969,1,Sun,September 21,,Pittsburgh Steelers,Detroit Lions,16,13,237,4,236,4,Pittsburgh Steelers,Detroit Lions
269,1969,2,Sun,September 28,,St. Louis Cardinals,Chicago Bears,20,17,170,2,371,2,St. Louis Cardinals,Chicago Bears
270,1969,2,Sun,September 28,,Los Angeles Rams,Atlanta Falcons,17,7,269,2,178,3,Los Angeles Rams,Atlanta Falcons
271,1969,2,Sun,September 28,,Cleveland Browns,Washington Redskins,27,23,339,2,275,0,Cleveland Browns,Washington Redskins
272,1969,2,Sun,September 28,,Dallas Cowboys,New Orleans Saints,21,17,294,1,310,4,New Orleans Saints,Dallas Cowboys
273,1969,2,Sun,September 28,,Minnesota Vikings,Baltimore Colts,52,14,622,3,235,3,Minnesota Vikings,Baltimore Colts
274,1969,2,Sun,September 28,,Green Bay Packers,San Francisco 49ers,14,7,269,3,376,1,Green Bay Packers,San Francisco 49ers
275,1969,2,Sun,September 28,,Philadelphia Eagles,Pittsburgh Steelers,41,27,460,2,355,2,Philadelphia Eagles,Pittsburgh Steelers
276,1969,2,Sun,September 28,,Detroit Lions,New York Giants,24,0,241,1,187,1,Detroit Lions,New York Giants
278,1969,3,Sun,October 5,,Dallas Cowboys,Philadelphia Eagles,38,7,526,1,252,2,Philadelphia Eagles,Dallas Cowboys
279,1969,3,Sun,October 5,,Washington Redskins,San Francisco 49ers,17,17,304,2,271,1,San Francisco 49ers,Washington Redskins
280,1969,3,Sun,October 5,,Minnesota Vikings,Green Bay Packers,19,7,230,0,173,3,Minnesota Vikings,Green Bay Packers
281,1969,3,Sun,October 5,,New York Giants,Chicago Bears,28,24,267,1,380,3,New York Giants,Chicago Bears
282,1969,3,Sun,October 5,,Baltimore Colts,Atlanta Falcons,21,14,260,4,302,2,Atlanta Falcons,Baltimore Colts
283,1969,3,Sun,October 5,,Detroit Lions,Cleveland Browns,28,21,301,4,264,6,Cleveland Browns,Detroit Lions
284,1969,3,Sun,October 5,,Los Angeles Rams,New Orleans Saints,36,17,350,1,315,3,Los Angeles Rams,New Orleans Saints
285,1969,3,Sun,October 5,,St. Louis Cardinals,Pittsburgh Steelers,27,14,344,4,345,5,Pittsburgh Steelers,St. Louis Cardinals
287,1969,4,Sun,October 12,,Los Angeles Rams,San Francisco 49ers,27,21,269,0,317,3,San Francisco 49ers,Los Angeles Rams
288,1969,4,Sun,October 12,,Cleveland Browns,New Orleans Saints,27,17,306,0,277,4,New Orleans Saints,Cleveland Browns
289,1969,4,Sun,October 12,,Washington Redskins,St. Louis Cardinals,33,17,377,2,226,5,Washington Redskins,St. Louis Cardinals
290,1969,4,Sun,October 12,,Green Bay Packers,Detroit Lions,28,17,308,1,227,4,Detroit Lions,Green Bay Packers
291,1969,4,Sun,October 12,,New York Giants,Pittsburgh Steelers,10,7,208,1,231,4,New York Giants,Pittsburgh Steelers
292,1969,4,Sun,October 12,,Minnesota Vikings,Chicago Bears,31,0,256,1,119,4,Chicago Bears,Minnesota Vikings
293,1969,4,Sun,October 12,,Dallas Cowboys,Atlanta Falcons,24,17,397,1,213,2,Atlanta Falcons,Dallas Cowboys
294,1969,4,Mon,October 13,,Baltimore Colts,Philadelphia Eagles,24,20,363,3,320,1,Baltimore Colts,Philadelphia Eagles
296,1969,5,Sat,October 18,,Cleveland Browns,Pittsburgh Steelers,42,31,283,4,320,8,Cleveland Browns,Pittsburgh Steelers
297,1969,5,Sun,October 19,,Washington Redskins,New York Giants,20,14,280,2,318,1,Washington Redskins,New York Giants
298,1969,5,Sun,October 19,,Detroit Lions,Chicago Bears,13,7,252,1,153,1,Detroit Lions,Chicago Bears
299,1969,5,Sun,October 19,,Atlanta Falcons,San Francisco 49ers,21,7,284,3,295,7,San Francisco 49ers,Atlanta Falcons
300,1969,5,Sun,October 19,,Dallas Cowboys,Philadelphia Eagles,49,14,447,1,180,3,Dallas Cowboys,Philadelphia Eagles
301,1969,5,Sun,October 19,,Baltimore Colts,New Orleans Saints,30,10,491,0,325,4,New Orleans Saints,Baltimore Colts
302,1969,5,Sun,October 19,,Los Angeles Rams,Green Bay Packers,34,21,312,0,189,3,Los Angeles Rams,Green Bay Packers
303,1969,5,Sun,October 19,,Minnesota Vikings,St. Louis Cardinals,27,10,332,1,169,1,St. Louis Cardinals,Minnesota Vikings
305,1969,6,Sun,October 26,,Philadelphia Eagles,New Orleans Saints,13,10,366,4,267,4,Philadelphia Eagles,New Orleans Saints
306,1969,6,Sun,October 26,,Washington Redskins,Pittsburgh Steelers,14,7,214,3,301,2,Pittsburgh Steelers,Washington Redskins
307,1969,6,Sun,October 26,,Los Angeles Rams,Chicago Bears,9,7,236,2,159,2,Chicago Bears,Los Angeles Rams
308,1969,6,Sun,October 26,,Minnesota Vikings,Detroit Lions,24,10,201,1,167,4,Minnesota Vikings,Detroit Lions
309,1969,6,Sun,October 26,,Green Bay Packers,Atlanta Falcons,28,10,337,4,219,3,Green Bay Packers,Atlanta Falcons
310,1969,6,Sun,October 26,,San Francisco 49ers,Baltimore Colts,24,21,331,1,408,4,Baltimore Colts,San Francisco 49ers
311,1969,6,Sun,October 26,,St. Louis Cardinals,Cleveland Browns,21,21,445,1,336,1,Cleveland Browns,St. Louis Cardinals
312,1969,6,Mon,October 27,,Dallas Cowboys,New York Giants,25,3,370,3,166,2,Dallas Cowboys,New York Giants
314,1969,7,Sun,November 2,,Cleveland Browns,Dallas Cowboys,42,10,325,3,323,6,Cleveland Browns,Dallas Cowboys
315,1969,7,Sun,November 2,,Philadelphia Eagles,New York Giants,23,20,295,4,292,1,New York Giants,Philadelphia Eagles
316,1969,7,Sun,November 2,,Minnesota Vikings,Chicago Bears,31,14,296,3,211,2,Minnesota Vikings,Chicago Bears
317,1969,7,Sun,November 2,,Green Bay Packers,Pittsburgh Steelers,38,34,318,5,346,4,Pittsburgh Steelers,Green Bay Packers
318,1969,7,Sun,November 2,,New Orleans Saints,St. Louis Cardinals,51,42,508,1,478,4,St. Louis Cardinals,New Orleans Saints
319,1969,7,Sun,November 2,,Detroit Lions,San Francisco 49ers,26,14,125,2,282,5,San Francisco 49ers,Detroit Lions
320,1969,7,Sun,November 2,,Los Angeles Rams,Atlanta Falcons,38,6,430,2,279,5,Atlanta Falcons,Los Angeles Rams
321,1969,7,Sun,November 2,,Baltimore Colts,Washington Redskins,41,17,359,2,357,4,Baltimore Colts,Washington Redskins
323,1969,8,Sun,November 9,,St. Louis Cardinals,New York Giants,42,17,403,0,343,1,St. Louis Cardinals,New York Giants
324,1969,8,Sun,November 9,,Detroit Lions,Atlanta Falcons,27,21,241,1,279,3,Detroit Lions,Atlanta Falcons
325,1969,8,Sun,November 9,,Washington Redskins,Philadelphia Eagles,28,28,339,1,372,3,Washington Redskins,Philadelphia Eagles
326,1969,8,Sun,November 9,,Baltimore Colts,Green Bay Packers,14,6,251,3,298,2,Baltimore Colts,Green Bay Packers
327,1969,8,Sun,November 9,,Minnesota Vikings,Cleveland Browns,51,3,454,0,151,4,Minnesota Vikings,Cleveland Browns
328,1969,8,Sun,November 9,,Los Angeles Rams,San Francisco 49ers,41,30,406,0,399,2,Los Angeles Rams,San Francisco 49ers
329,1969,8,Sun,November 9,,Dallas Cowboys,New Orleans Saints,33,17,438,2,303,3,Dallas Cowboys,New Orleans Saints
330,1969,8,Sun,November 9,,Chicago Bears,Pittsburgh Steelers,38,7,379,4,86,4,Chicago Bears,Pittsburgh Steelers
332,1969,9,Sun,November 16,,Minnesota Vikings,Green Bay Packers,9,7,270,2,225,3,Green Bay Packers,Minnesota Vikings
333,1969,9,Sun,November 16,,Dallas Cowboys,Washington Redskins,41,28,365,1,377,4,Washington Redskins,Dallas Cowboys
334,1969,9,Sun,November 16,,Detroit Lions,St. Louis Cardinals,20,0,297,0,239,3,Detroit Lions,St. Louis Cardinals
335,1969,9,Sun,November 16,,Atlanta Falcons,Chicago Bears,48,31,356,2,346,3,Atlanta Falcons,Chicago Bears
336,1969,9,Sun,November 16,,New Orleans Saints,New York Giants,25,24,296,0,364,2,New York Giants,New Orleans Saints
337,1969,9,Sun,November 16,,Los Angeles Rams,Philadelphia Eagles,23,17,237,2,328,4,Philadelphia Eagles,Los Angeles Rams
338,1969,9,Sun,November 16,,San Francisco 49ers,Baltimore Colts,20,17,408,2,259,2,San Francisco 49ers,Baltimore Colts
339,1969,9,Sun,November 16,,Cleveland Browns,Pittsburgh Steelers,24,3,390,2,278,4,Pittsburgh Steelers,Cleveland Browns
341,1969,10,Sun,November 23,,Detroit Lions,Green Bay Packers,16,10,285,1,280,5,Green Bay Packers,Detroit Lions
342,1969,10,Sun,November 23,,Baltimore Colts,Chicago Bears,24,21,345,3,252,3,Chicago Bears,Baltimore Colts
343,1969,10,Sun,November 23,,Los Angeles Rams,Dallas Cowboys,24,23,290,2,352,4,Los Angeles Rams,Dallas Cowboys
344,1969,10,Sun,November 23,,Minnesota Vikings,Pittsburgh Steelers,52,14,329,4,145,5,Minnesota Vikings,Pittsburgh Steelers
345,1969,10,Sun,November 23,,Philadelphia Eagles,St. Louis Cardinals,34,30,330,2,414,2,St. Louis Cardinals,Philadelphia Eagles
346,1969,10,Sun,November 23,,Washington Redskins,Atlanta Falcons,27,20,411,2,251,1,Washington Redskins,Atlanta Falcons
347,1969,10,Sun,November 23,,New Orleans Saints,San Francisco 49ers,43,38,402,1,433,2,New Orleans Saints,San Francisco 49ers
348,1969,10,Sun,November 23,,Cleveland Browns,New York Giants,28,17,268,2,376,6,Cleveland Browns,New York Giants
350,1969,11,Thu,November 27,,Minnesota Vikings,Detroit Lions,27,0,173,2,156,3,Detroit Lions,Minnesota Vikings
351,1969,11,Thu,November 27,,San Francisco 49ers,Dallas Cowboys,24,24,319,1,305,3,Dallas Cowboys,San Francisco 49ers
352,1969,11,Sun,November 30,,New Orleans Saints,Philadelphia Eagles,26,17,385,0,304,4,New Orleans Saints,Philadelphia Eagles
353,1969,11,Sun,November 30,,Green Bay Packers,New York Giants,20,10,274,3,325,2,Green Bay Packers,New York Giants
354,1969,11,Sun,November 30,,Cleveland Browns,Chicago Bears,28,24,358,1,334,3,Chicago Bears,Cleveland Browns
355,1969,11,Sun,November 30,,Los Angeles Rams,Washington Redskins,24,13,294,1,226,2,Washington Redskins,Los Angeles Rams
356,1969,11,Sun,November 30,,St. Louis Cardinals,Pittsburgh Steelers,47,10,401,2,187,4,St. Louis Cardinals,Pittsburgh Steelers
357,1969,11,Sun,November 30,,Baltimore Colts,Atlanta Falcons,13,6,312,1,283,0,Baltimore Colts,Atlanta Falcons
359,1969,12,Sat,December 6,,San Francisco 49ers,Chicago Bears,42,21,360,0,368,4,San Francisco 49ers,Chicago Bears
360,1969,12,Sun,December 7,,Cleveland Browns,Green Bay Packers,20,7,347,0,218,1,Cleveland Browns,Green Bay Packers
361,1969,12,Sun,December 7,,New York Giants,St. Louis Cardinals,49,6,517,2,181,4,New York Giants,St. Louis Cardinals
362,1969,12,Sun,December 7,,Atlanta Falcons,New Orleans Saints,45,17,376,1,287,2,Atlanta Falcons,New Orleans Saints
363,1969,12,Sun,December 7,,Washington Redskins,Philadelphia Eagles,34,29,331,2,383,2,Philadelphia Eagles,Washington Redskins
364,1969,12,Sun,December 7,,Minnesota Vikings,Los Angeles Rams,20,13,246,0,247,1,Los Angeles Rams,Minnesota Vikings
365,1969,12,Sun,December 7,,Detroit Lions,Baltimore Colts,17,17,245,0,289,4,Baltimore Colts,Detroit Lions
366,1969,12,Sun,December 7,,Dallas Cowboys,Pittsburgh Steelers,10,7,202,3,217,1,Pittsburgh Steelers,Dallas Cowboys
368,1969,13,Sat,December 13,,Dallas Cowboys,Baltimore Colts,27,10,408,1,224,4,Dallas Cowboys,Baltimore Colts
369,1969,13,Sun,December 14,,Minnesota Vikings,San Francisco 49ers,10,7,193,3,291,4,Minnesota Vikings,San Francisco 49ers
370,1969,13,Sun,December 14,,Green Bay Packers,Chicago Bears,21,3,363,3,196,2,Chicago Bears,Green Bay Packers
371,1969,13,Sun,December 14,,Washington Redskins,New Orleans Saints,17,14,248,0,336,3,Washington Redskins,New Orleans Saints
372,1969,13,Sun,December 14,,Cleveland Browns,St. Louis Cardinals,27,21,341,2,219,2,St. Louis Cardinals,Cleveland Browns
373,1969,13,Sun,December 14,,Atlanta Falcons,Philadelphia Eagles,27,3,372,1,234,4,Philadelphia Eagles,Atlanta Falcons
374,1969,13,Sun,December 14,,Detroit Lions,Los Angeles Rams,28,0,332,1,96,3,Detroit Lions,Los Angeles Rams
375,1969,13,Sun,December 14,,New York Giants,Pittsburgh Steelers,21,17,297,1,311,2,Pittsburgh Steelers,New York Giants
377,1969,14,Sun,December 21,,San Francisco 49ers,Philadelphia Eagles,14,13,281,4,275,2,San Francisco 49ers,Philadelphia Eagles
378,1969,14,Sun,December 21,,Dallas Cowboys,Washington Redskins,20,10,333,1,274,1,Dallas Cowboys,Washington Redskins
379,1969,14,Sun,December 21,,Baltimore Colts,Los Angeles Rams,13,7,344,2,159,2,Los Angeles Rams,Baltimore Colts
380,1969,14,Sun,December 21,,Detroit Lions,Chicago Bears,20,3,250,4,96,3,Chicago Bears,Detroit Lions
381,1969,14,Sun,December 21,,Green Bay Packers,St. Louis Cardinals,45,28,530,2,239,2,Green Bay Packers,St. Louis Cardinals
382,1969,14,Sun,December 21,,New Orleans Saints,Pittsburgh Steelers,27,24,340,2,267,0,New Orleans Saints,Pittsburgh Steelers
383,1969,14,Sun,December 21,,New York Giants,Cleveland Browns,27,14,388,0,351,3,New York Giants,Cleveland Browns
384,1969,14,Sun,December 21,,Atlanta Falcons,Minnesota Vikings,10,3,111,3,167,8,Atlanta Falcons,Minnesota Vikings
386,1969,Division,Sat,December 27,,Minnesota Vikings,Los Angeles Rams,23,20,275,3,255,1,Minnesota Vikings,Los Angeles Rams
387,1969,Division,Sun,December 28,,Cleveland Browns,Dallas Cowboys,38,14,344,0,217,3,Dallas Cowboys,Cleveland Browns
388,1969,Champ,Sun,January 4,,Minnesota Vikings,Cleveland Browns,27,7,383,0,268,3,Minnesota Vikings,Cleveland Browns
389,1969,SuperBowl,Sun,January 11,,Kansas City Chiefs,Minnesota Vikings,23,7,273,1,239,5,Kansas City Chiefs,Minnesota Vikings
390,1970,1,Fri,September 18,11:00PM,Los Angeles Rams,St. Louis Cardinals,34,13,342,1,327,4,Los Angeles Rams,St. Louis Cardinals
391,1970,1,Sat,September 19,8:00PM,Chicago Bears,New York Giants,24,16,256,3,311,3,New York Giants,Chicago Bears
392,1970,1,Sun,September 20,1:00PM,Denver Broncos,Buffalo Bills,25,10,282,3,149,4,Buffalo Bills,Denver Broncos
393,1970,1,Sun,September 20,1:00PM,Dallas Cowboys,Philadelphia Eagles,17,7,297,3,225,4,Philadelphia Eagles,Dallas Cowboys
394,1970,1,Sun,September 20,1:00PM,Cincinnati Bengals,Oakland Raiders,31,21,364,1,291,2,Cincinnati Bengals,Oakland Raiders
395,1970,1,Sun,September 20,1:00PM,Boston Patriots,Miami Dolphins,27,14,301,1,214,3,Boston Patriots,Miami Dolphins
396,1970,1,Sun,September 20,1:00PM,Houston Oilers,Pittsburgh Steelers,19,7,305,0,214,1,Pittsburgh Steelers,Houston Oilers
397,1970,1,Sun,September 20,1:30PM,Atlanta Falcons,New Orleans Saints,14,3,265,2,235,2,New Orleans Saints,Atlanta Falcons
398,1970,1,Sun,September 20,2:00PM,Detroit Lions,Green Bay Packers,40,0,398,1,114,3,Green Bay Packers,Detroit Lions
399,1970,1,Sun,September 20,4:00PM,San Francisco 49ers,Washington Redskins,26,17,324,1,209,2,San Francisco 49ers,Washington Redskins
400,1970,1,Sun,September 20,4:00PM,Minnesota Vikings,Kansas City Chiefs,27,10,220,3,218,4,Minnesota Vikings,Kansas City Chiefs
401,1970,1,Sun,September 20,4:00PM,Baltimore Colts,San Diego Chargers,16,14,303,3,288,1,San Diego Chargers,Baltimore Colts
402,1970,1,Mon,September 21,9:00PM,Cleveland Browns,New York Jets,31,21,221,0,454,4,Cleveland Browns,New York Jets
404,1970,2,Sun,September 27,1:00PM,New York Jets,Boston Patriots,31,21,283,2,209,3,Boston Patriots,New York Jets
405,1970,2,Sun,September 27,1:00PM,Los Angeles Rams,Buffalo Bills,19,0,364,3,177,4,Buffalo Bills,Los Angeles Rams
406,1970,2,Sun,September 27,1:00PM,Detroit Lions,Cincinnati Bengals,38,3,285,0,140,4,Detroit Lions,Cincinnati Bengals
407,1970,2,Sun,September 27,2:00PM,Minnesota Vikings,New Orleans Saints,26,0,291,2,131,4,Minnesota Vikings,New Orleans Saints
408,1970,2,Sun,September 27,2:00PM,Chicago Bears,Philadelphia Eagles,20,16,181,1,323,1,Chicago Bears,Philadelphia Eagles
409,1970,2,Sun,September 27,2:00PM,Green Bay Packers,Atlanta Falcons,27,24,344,3,384,5,Green Bay Packers,Atlanta Falcons
410,1970,2,Sun,September 27,2:00PM,Dallas Cowboys,New York Giants,28,10,360,2,238,3,Dallas Cowboys,New York Giants
411,1970,2,Sun,September 27,2:00PM,St. Louis Cardinals,Washington Redskins,27,17,297,3,254,3,St. Louis Cardinals,Washington Redskins
412,1970,2,Sun,September 27,2:00PM,Miami Dolphins,Houston Oilers,20,10,284,1,307,3,Houston Oilers,Miami Dolphins
413,1970,2,Sun,September 27,4:00PM,San Diego Chargers,Oakland Raiders,27,27,344,3,405,0,San Diego Chargers,Oakland Raiders
414,1970,2,Sun,September 27,4:00PM,San Francisco 49ers,Cleveland Browns,34,31,435,0,448,4,San Francisco 49ers,Cleveland Browns
415,1970,2,Sun,September 27,4:00PM,Denver Broncos,Pittsburgh Steelers,16,13,226,4,245,3,Denver Broncos,Pittsburgh Steelers
416,1970,2,Mon,September 28,9:00PM,Kansas City Chiefs,Baltimore Colts,44,24,295,4,309,7,Baltimore Colts,Kansas City Chiefs
418,1970,3,Sat,October 3,8:00PM,Miami Dolphins,Oakland Raiders,20,13,279,1,334,4,Miami Dolphins,Oakland Raiders
419,1970,3,Sat,October 3,9:00PM,Cleveland Browns,Pittsburgh Steelers,15,7,199,2,263,4,Cleveland Browns,Pittsburgh Steelers
420,1970,3,Sun,October 4,1:00PM,Baltimore Colts,Boston Patriots,14,6,236,1,240,1,Boston Patriots,Baltimore Colts
421,1970,3,Sun,October 4,1:00PM,Buffalo Bills,New York Jets,34,31,401,5,337,0,Buffalo Bills,New York Jets
422,1970,3,Sun,October 4,1:00PM,Atlanta Falcons,San Francisco 49ers,21,20,356,2,326,2,Atlanta Falcons,San Francisco 49ers
423,1970,3,Sun,October 4,1:00PM,Washington Redskins,Philadelphia Eagles,33,21,316,1,237,4,Philadelphia Eagles,Washington Redskins
424,1970,3,Sun,October 4,1:00PM,Houston Oilers,Cincinnati Bengals,20,13,239,4,248,2,Cincinnati Bengals,Houston Oilers
425,1970,3,Sun,October 4,2:00PM,New Orleans Saints,New York Giants,14,10,183,3,361,3,New Orleans Saints,New York Giants
426,1970,3,Sun,October 4,2:00PM,St. Louis Cardinals,Dallas Cowboys,20,7,309,2,269,2,St. Louis Cardinals,Dallas Cowboys
427,1970,3,Sun,October 4,4:00PM,Los Angeles Rams,San Diego Chargers,37,10,277,1,147,4,Los Angeles Rams,San Diego Chargers
428,1970,3,Sun,October 4,4:00PM,Green Bay Packers,Minnesota Vikings,13,10,173,2,216,3,Green Bay Packers,Minnesota Vikings
429,1970,3,Sun,October 4,4:00PM,Denver Broncos,Kansas City Chiefs,26,13,240,1,121,5,Denver Broncos,Kansas City Chiefs
430,1970,3,Mon,October 5,9:00PM,Detroit Lions,Chicago Bears,28,14,350,1,177,3,Detroit Lions,Chicago Bears
432,1970,4,Sat,October 10,8:45PM,Miami Dolphins,New York Jets,20,6,312,1,263,3,New York Jets,Miami Dolphins
